,Abs_Coefficient
Phi_Fixed eta_Free,0.00021806318037569642
Phi_Free eta_Fixed,9.335980821032371e-05
Phi_Fixed eta_Fixed,9.335980821032272e-05
Phi_Free,5.186286969136892e-05
Phi_Fixed,5.186283794935424e-05
Phi_Free eta_Free,9.800781441548915e-06
eta_Free,1.1728693640315565e-11
eta_Free^2,6.845491629665233e-12
eta_Fixed,5.081360953351422e-12
eta_Fixed eta_Free,2.3463050381438005e-12
Phi_Fixed^2,2.0483364861852062e-12
Phi_Fixed Phi_Free,2.0402681483850348e-12
eta_Fixed^2,1.2067419702170326e-12
Phi_Free^2,2.916551379475007e-13
